,num_features,f1_score,accuracy
0,469,0.8210240202275605,0.7843137254901961
1,459,0.8130585106382977,0.7858220211161387
2,445,0.8214323607427056,0.7948717948717948
3,445,0.8214323607427056,0.7948717948717948
4,438,0.8249868073878623,0.7978883861236803
5,437,0.8352162516382702,0.808446455505279
6,425,0.8252941176470587,0.7918552036199095
7,416,0.8251461245235072,0.7903469079939668
8,416,0.8251461245235072,0.7903469079939668
9,407,0.8257397959183672,0.7918552036199095
10,407,0.8257397959183672,0.7918552036199095
11,403,0.849635479951397,0.8114630467571644
12,384,0.839014084507042,0.808446455505279
13,379,0.8337209302325581,0.803921568627451
14,379,0.8409352517985611,0.7978883861236803
15,372,0.8277142857142854,0.7978883861236803
16,371,0.8292217898832686,0.799396681749623
17,372,0.8532412060301509,0.8220211161387632
18,367,0.8409589041095891,0.8054298642533937
19,359,0.8368679245283017,0.8024132730015083
20,349,0.8233504492939665,0.7903469079939668
21,349,0.8233504492939665,0.7903469079939668
22,349,0.8233504492939665,0.7903469079939668
23,349,0.8233504492939665,0.7903469079939668
24,345,0.839014084507042,0.808446455505279
25,345,0.839014084507042,0.808446455505279
26,338,0.8450000000000002,0.8129713423831071
27,337,0.8408928571428573,0.8099547511312217
28,334,0.8496202531645571,0.8190045248868778
29,331,0.8448507462686567,0.8099547511312217
30,327,0.8317898832684825,0.8024132730015083
31,324,0.856521739130435,0.8190045248868778
32,320,0.8233919597989949,0.7858220211161387
33,318,0.8380000000000001,0.8099547511312217
34,313,0.8341494845360824,0.803921568627451
35,309,0.8326937738246505,0.799396681749623
36,309,0.8326937738246505,0.799396681749623
37,303,0.8368401486988848,0.799396681749623
38,303,0.8411111111111111,0.803921568627451
39,303,0.8411111111111111,0.803921568627451
40,296,0.8282653061224492,0.7948717948717948
41,296,0.8282653061224492,0.7948717948717948
42,295,0.847692307692308,0.8129713423831071
43,292,0.8447302383939777,0.8114630467571644
44,289,0.8438136645962735,0.808446455505279
45,288,0.855777777777778,0.8220211161387632
46,287,0.8589219330855018,0.8265460030165912
47,286,0.8495588235294118,0.8129713423831071
48,283,0.8540148698884757,0.8205128205128205
49,282,0.8478780487804878,0.8099547511312217
50,281,0.8445859085290484,0.808446455505279
51,277,0.8403225806451613,0.803921568627451
52,276,0.8558017135862914,0.8205128205128205
53,272,0.8424179829890646,0.8024132730015083
54,272,0.8506569343065693,0.8129713423831071
55,267,0.8547348951911222,0.8205128205128205
56,267,0.8547348951911222,0.8205128205128205
57,267,0.8547348951911222,0.8205128205128205
58,267,0.8547348951911222,0.8205128205128205
59,266,0.8544117647058824,0.8190045248868778
60,261,0.8447058823529412,0.8069381598793364
61,260,0.8471323529411765,0.8099547511312217
62,260,0.8471323529411765,0.8099547511312217
63,258,0.8485312117503061,0.8114630467571644
64,258,0.8485312117503061,0.8114630467571644
65,258,0.8485312117503061,0.8114630467571644
66,257,0.844065934065934,0.8054298642533937
67,255,0.8509547123623009,0.8144796380090498
68,255,0.8509547123623009,0.8144796380090498
69,255,0.8509547123623009,0.8144796380090498
70,253,0.8447058823529412,0.8069381598793364
71,253,0.8447058823529412,0.8069381598793364
72,253,0.8447058823529412,0.8069381598793364
73,253,0.8458394160583942,0.8069381598793364
74,252,0.8447058823529412,0.8069381598793364
75,252,0.8458394160583942,0.8069381598793364
76,251,0.8444457978075519,0.8054298642533937
77,251,0.8457300613496934,0.808446455505279
78,250,0.8454634146341466,0.8069381598793364
79,250,0.8454634146341466,0.8069381598793364
80,250,0.8464835164835165,0.808446455505279
81,249,0.848901098901099,0.8114630467571644
82,249,0.848901098901099,0.8114630467571644
83,248,0.848901098901099,0.8114630467571644
84,248,0.848901098901099,0.8114630467571644
85,248,0.848901098901099,0.8114630467571644
86,246,0.848901098901099,0.8114630467571644
87,246,0.848901098901099,0.8114630467571644
88,245,0.8485312117503061,0.8114630467571644
89,245,0.848901098901099,0.8114630467571644
90,244,0.8485312117503061,0.8114630467571644
91,244,0.8485312117503061,0.8114630467571644
92,243,0.8475061124694374,0.8099547511312217
93,243,0.8475061124694374,0.8099547511312217
94,242,0.8425277435265106,0.8054298642533937
95,242,0.8425277435265106,0.8054298642533937
96,241,0.8435555555555556,0.8069381598793364
97,241,0.8435555555555556,0.8069381598793364
98,240,0.8435555555555556,0.8069381598793364
99,240,0.8435555555555556,0.8069381598793364
100,240,0.8443243243243241,0.8069381598793364
