,num_features,f1_score,accuracy
0,471,0.8059097320169251,0.7903469079939668
1,464,0.775276073619632,0.7767722473604827
2,467,0.8368435754189942,0.8220211161387632
3,453,0.8208571428571423,0.799396681749623
4,433,0.8281348637015782,0.8174962292609351
5,432,0.821562082777036,0.7963800904977375
6,432,0.821562082777036,0.7963800904977375
7,429,0.8025764192139739,0.7933634992458521
8,429,0.82072972972973,0.7978883861236803
9,418,0.815469387755102,0.7933634992458521
10,415,0.8177053824362606,0.803921568627451
11,398,0.8265793103448273,0.808446455505279
12,398,0.8265793103448273,0.808446455505279
13,389,0.8047123287671232,0.7828054298642534
14,389,0.8047123287671232,0.7828054298642534
15,385,0.8095634379263297,0.7873303167420814
16,385,0.8095634379263297,0.7873303167420814
17,382,0.8162603878116346,0.7978883861236803
18,380,0.8124066390041493,0.7933634992458521
19,371,0.8259340659340659,0.8069381598793364
20,355,0.7962532981530344,0.7647058823529411
21,353,0.7985959885386817,0.7858220211161387
22,349,0.7944776119402985,0.7692307692307693
23,351,0.8168632707774801,0.7918552036199095
24,352,0.8329959514170042,0.8114630467571644
25,337,0.8216935483870969,0.7978883861236803
26,337,0.8216935483870969,0.7978883861236803
27,333,0.8110483870967742,0.7858220211161387
28,333,0.8224456521739132,0.8009049773755657
29,327,0.8061904761904763,0.7767722473604827
30,324,0.8225099601593624,0.7963800904977375
31,322,0.8209863013698628,0.8009049773755657
32,318,0.8179463087248324,0.7933634992458521
33,318,0.8179463087248324,0.7933634992458521
34,315,0.8080753138075312,0.7903469079939668
35,301,0.8230576070901034,0.8174962292609351
36,301,0.8230576070901034,0.8174962292609351
37,299,0.8242056074766353,0.799396681749623
38,296,0.8009239130434782,0.7767722473604827
39,292,0.8143750000000001,0.7918552036199095
40,291,0.8126308724832216,0.7873303167420814
41,281,0.811818181818182,0.7918552036199095
42,281,0.811818181818182,0.7918552036199095
43,282,0.823447820343461,0.7963800904977375
44,276,0.7931754874651809,0.7737556561085973
45,275,0.8144596443228456,0.7933634992458521
46,274,0.8237349397590363,0.799396681749623
47,274,0.8237349397590363,0.799396681749623
48,270,0.8134387895460797,0.7933634992458521
49,270,0.8134387895460797,0.7933634992458521
50,268,0.8133606557377049,0.7918552036199095
51,266,0.8102499999999999,0.7918552036199095
52,263,0.811570996978852,0.8099547511312217
53,259,0.8175609756097559,0.7948717948717948
54,259,0.8175609756097559,0.7948717948717948
55,259,0.8175609756097559,0.7948717948717948
56,257,0.8127755102040815,0.7903469079939668
57,257,0.8280027359781119,0.808446455505279
58,251,0.7979591836734694,0.7888386123680241
59,253,0.8260810810810812,0.803921568627451
60,250,0.8178838174273859,0.799396681749623
61,250,0.8191213389121339,0.8024132730015083
62,249,0.8254545454545457,0.8069381598793364
63,247,0.8249797570850204,0.8024132730015083
64,243,0.8249723756906078,0.8069381598793364
65,243,0.8249723756906078,0.8069381598793364
66,243,0.8249723756906078,0.8069381598793364
67,243,0.8249723756906078,0.8069381598793364
68,243,0.8286538461538462,0.8099547511312217
69,242,0.825450874831763,0.8024132730015083
70,241,0.8257708049113233,0.8054298642533937
71,240,0.8218267929634644,0.799396681749623
72,239,0.8178838174273859,0.799396681749623
73,238,0.8209863013698628,0.8009049773755657
74,238,0.8257708049113233,0.8054298642533937
75,237,0.8262448979591834,0.8054298642533937
76,236,0.8281818181818181,0.8099547511312217
77,236,0.8334199726402187,0.8144796380090498
78,236,0.8334199726402187,0.8144796380090498
79,236,0.8334199726402187,0.8144796380090498
80,234,0.815469387755102,0.7933634992458521
81,235,0.8275308641975307,0.808446455505279
82,234,0.8278859527121001,0.8114630467571644
83,232,0.815469387755102,0.7933634992458521
84,233,0.8278859527121001,0.8114630467571644
85,231,0.8134387895460797,0.7933634992458521
86,231,0.8207520891364903,0.803921568627451
87,230,0.8134387895460797,0.7933634992458521
88,230,0.8190027700831024,0.8009049773755657
89,229,0.8190027700831024,0.8009049773755657
90,229,0.8190027700831024,0.8009049773755657
91,229,0.8190027700831024,0.8009049773755657
92,229,0.8190027700831024,0.8009049773755657
93,228,0.8222375690607735,0.803921568627451
94,228,0.8222375690607735,0.803921568627451
95,227,0.8222375690607735,0.803921568627451
96,227,0.8222375690607735,0.803921568627451
97,227,0.8222375690607735,0.803921568627451
98,227,0.8222375690607735,0.803921568627451
99,226,0.8206224066390044,0.8024132730015083
100,226,0.8211172413793104,0.8024132730015083
